title,description,url,company,location,salary,job_type,posted_date,experience,skills,company_size,industry
Data Scientist,"Data Scientist Maidenhead - 3 Days On Site Up to £64,000  Bonus & Benefits Our client is a global leader in enterprise management software solutions, specialising in helping businesses across the retail and consumer services sectors to optimise operations, manage data, and drive customer loyalty. They are seeking a talented Data Scientist to analyse complex data sets, develop predictive models, and deliver actionable insights that support their cutting-edge solutions. This is an exciting opport…",https://www.adzuna.co.uk/jobs/land/ad/5195283337?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=76B66460E605122352F66901E2A14244EE40E3B6,,"Maidenhead, Windsor & Maidenhead",,,,,,,
Data Scientist,"Biotech start up Business On behalf of an innovative biotech startup, I am currently seeking a talented Data Scientist to join a growing team that's tackling one of the most exciting intersections of biology and technology. This startup has spent several years developing proprietary software capable of interpreting IR spectra. After building the foundational tech, they embarked on an ambitious mission to collect validated spectral data from a wide variety of organisms. The result? A robust, clo…",https://www.adzuna.co.uk/jobs/land/ad/5141494135?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=E68FC6F596A5DEEB271FAD407BB0E8F3E56B0B73,,"Edinburgh, Scotland",,,,,,,
Data Scientist,"I am recruiting for a Data Scientist for an exciting multi national business. As a Data Scientist, you'll be at the heart of data-driven decision-making. You'll help build and maintain scalable data pipelines, design predictive models, and turn complex datasets into meaningful insights for the business. This role offers a balance of technical depth, creative problem-solving, and cross-functional collaboration. Do you love solving problems with data? You can enjoy the challenge of digging into c…",https://www.adzuna.co.uk/jobs/land/ad/5134551333?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=7D48B178F1DB6913A927F2CAF60F7044076A512A,,"Blackburn, Lancashire",,,,,,,
Data Scientist,"Excited to grow your career? Our purpose is to make it easy for people to save and invest for a better future. We are looking for great people to join us, so please come and invest in YOUR future at HL. We know that sometimes people can be put off applying for a job if they don't tick every box. If you're excited about working for us and have most of the skills or experience we're looking for, please go ahead and apply. We'd love to hear from you! About the role At Hargreaves Lansdown (HL) we'r…",https://www.adzuna.co.uk/jobs/land/ad/5177150850?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=D58D6C0DCEFD786905D3D1059833577BBCC96EE0,,"Bristol, South West England",,,,,,,
Data Scientist - Manchester,"Data Scientist - Manchester Data Scientist with experience of creating financial models, machine learning, SQL, Python and forecasting experience is required by a leading company in Manchester. As the Data Scientist, you will be responsible for defining & shaping of all financial modelling and forecasting to enhance decision making, deliver more targeted acquisition, and deliver profitable growth. Tools wise they are using SQL, Python & R, so you should ideally have strong experience in these a…",https://www.adzuna.co.uk/jobs/land/ad/5150602378?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=0049436F9B47C948BDFBDDB878DA934F73519B57,,"Manchester, Greater Manchester",,,,,,,
Senior Data Scientist,"Investment Firm Build cutting-edge investment signals with real-world impact. Work at the intersection of quant, sustainability, and tech. Combine research, engineering, and publishing in one role. This is a fantastic opportunity to join a growing, tech-forward quant research team. As a Senior Data Scientist, youll be joining a collaborative and innovation-focused environment where youll help solve complex problems using modern AI and machine learning techniques. Youll work on designing intelli…",https://www.adzuna.co.uk/jobs/land/ad/5173067951?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=31B73D2AE299BA579CF992880B3F87C2D243B16F,,"South East London, London",,,,,,,
Data Scientist / Comp Biologist,"I am recruiting for a highly skilled and motivated Data Scientist / Computational Biologist to join an exciting start up team. The ideal candidate will have a strong background in biological data analysis, machine learning, and computational biology, with a focus on protein language models and next-generation sequencing (NGS). This role requires an individual who can hit the ground running and contribute to their multidisciplinary research efforts. Key Responsibilities: Work with visualization …",https://www.adzuna.co.uk/jobs/land/ad/5125068758?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=9601B5724C56B80BAC9C1D45D216382476ABA00C,,"Cambridge, Cambridgeshire",,,,,,,
Data Scientist,"DATA SCIENTIST LONDON (HYBRID - 3 Days Per Week) UP to £60,000 COMPANY: This company is a global leader in Customer Data Science, who work across customer analytics and loyalty working as a consultancy services giving you’re the opportunity to work with market leading business & retailers! They are looking for a Data Scientist to join their Data Science team! RESPONSIBILITIES: Work on designing and building advanced ML models - including propensity and clustering Apply machine learning, statist…",https://www.adzuna.co.uk/jobs/land/ad/5170678388?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=70D3D956CF704BE7CECD117022806D8AF1D87CA0,,"London, UK",,,,,,,
Data Scientist,"New Permanent Opportunity for a DV Cleared Data Scientist in Cheltenham for a leading National Security and Defence Consultancy client. Must have active DV Clearance Up to £85k DoE plus bonuses and benefits 3 days on site per week in Cheltenham Skills required in Machine Learning, AWS/Azure, Python, NLP, AI Who are we? We are recruiting a Data Scientist with DV Clearance for a prestigious client to work on a portfolio of public and private sector projects. Our client is a global leader in techn…",https://www.adzuna.co.uk/jobs/land/ad/5189802603?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=9FCD60CB4A0EDD2BB933F4D7B9B8FD71148E8133,,"Cheltenham, Gloucestershire",,,,,,,
Data Scientist,"DATA SCIENTIST/DATA SCIENCE ANALYST - Private Equity/Investment HYBRID - 4 Days a week in central London office Up to £70,000  benefits COMPANY: We are working with a market leading Private Equity/Investment firm to bring a new Data Scientist into their team. This will be the second hire into the team, so there is plenty of room to make an impact. This is a great opportunity for a Data Scientist with a couple of years of industry experience looking for a change! ROLE: Closely work with the team…",https://www.adzuna.co.uk/jobs/land/ad/5170677355?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=3105F6C90C1414251C538B361F0FE789680A3D7E,,"London, UK",,,,,,,
Data Scientist,"Data Scientist Up to £50,000 Hybrid – 3 days per week in office (London) We’ve partnered with an innovative Data Start-up who are looking to hire a passionate Data Scientist. This consultancy provides innovative SAAS and AI solutions to their household name clients and is an excellent opportunity to work with a small, but high-performing team. This role encompasses a blend between applied Data Science, AI/ML, and Data Engineering across all the Cloud platforms. This is an ideal role for someone…",https://www.adzuna.co.uk/jobs/land/ad/5195871211?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=C2C916077B649BE18F5013C3D87496D75B08D70A,,"London, UK",,,,,,,
Data Scientist,"Data Science Analyst Central London – 4 Days in Office Up to £85,000  Benefits The Company This 30-person private equity firm is all about creating value—working closely with portfolio companies in industries such as pharma, healthcare, financial services, tech, and industrials, they focus on strategic projects that drive growth, efficiency, and innovation. As a Data Scientist , you’ll work closely with the management team, portfolio companies, and the operational strategy team to deliver high-…",https://www.adzuna.co.uk/jobs/land/ad/5185224025?se=fJVhYBQw8BGym-MeHncHCQ&utm_medium=api&utm_source=8c2cae12&v=C985AAC47E5C00792DDF09F01CAB5ED536E94F7C,,"London, UK",,,,,,,
